registerDays,firstOrderDays,avgReleaseTimeOfLatest30day,avgPayTimeOfLatest30day,finishRateLatest30day,completedOrderNumOfLatest30day,completedBuyOrderNumOfLatest30day,completedSellOrderNumOfLatest30day,completedOrderTotalBtcAmountOfLatest30day,completedOrderNum,completedBuyOrderNum,completedSellOrderNum,completedBuyOrderTotalBtcAmount,completedSellOrderTotalBtcAmount,completedOrderTotalBtcAmount,counterpartyCount,userNo
244,182,0.0,402.0,0.5,1,1,0,0,4,4,0,0,0,0,4,s627bc7dc8eba33d4b1f54d02cfb5b7cb
43,33,0.0,428.6,0.834,5,5,0,0,6,6,0,0,0,0,4,sb840c7e3fcca3198bf53de01d6d7b42f
31,15,0.0,228.5,0.5,2,2,0,0,2,2,0,0,0,0,2,s97a9c7f830a93aa5a17c531891d8a0ba
1108,212,0.0,420.0,0.667,2,2,0,0,9,9,0,0,0,0,7,se49e650afd79350884e2db25a91525b2
293,18,0.0,268.5,0.286,2,2,0,0,2,2,0,0,0,0,2,s68e4662673f8376bb526ac4c5bebfa4d
422,422,0.0,175.74,0.884,38,38,0,0,399,398,1,0,0,0,206,s7caddfaea77d33c9b4aba6d26f2fdeb0
1712,1682,0.0,144.0,0.875,7,7,0,0,66,64,2,0,0,0,36,sb54c234b4f793bbeaff4c58897a66ea4
748,397,34.75,164.67,0.639,23,15,8,0,103,53,50,0,0,0,72,s2921256516a5349bbadbc8cab4db70a6
67,67,79.5,83.2,1.0,9,5,4,0,31,24,7,0,0,0,17,s7450d36081a732ca9ed72efcf0ac8409
59,53,0.0,134.6,0.5,10,10,0,0,17,17,0,0,0,0,5,sed9030cb91263e90b0b62b9bbec30c65
204,203,58.0,125.19,0.843,32,31,1,0,117,112,5,0,0,0,81,s1a0cae36f4de307c81f9588d7e2d24a9
285,283,453.0,316.86,0.75,15,7,8,0,149,99,50,0,0,0,104,s26f21907f6d6356d80f65dfd5e196ac2
14,14,178.0,197.0,0.4,2,1,1,0,2,1,1,0,0,0,2,s1239a4a3ee7a36ed94a24ca5fa981edb
